Date,Open,High,Low,Close,Adj Close,Volume
2013-09-23,45.000000,45.250000,44.750000,45.049999,44.748302,222932
2013-09-24,44.299999,46.099998,44.299999,45.700001,45.393948,332757
2013-09-25,45.299999,46.099998,44.900002,45.200001,44.897297,162130
2013-09-26,45.049999,45.349998,45.000000,45.000000,44.698635,166295
2013-09-27,45.049999,46.299999,45.000000,45.799999,45.493279,227969
2013-09-30,45.049999,46.599998,44.099998,46.299999,45.989933,370596
2013-10-01,46.500000,47.799999,45.650002,47.250000,46.933571,699129
2013-10-03,47.500000,48.450001,46.599998,47.000000,46.685246,714023
2013-10-04,46.599998,47.650002,46.400002,47.000000,46.685246,363880
2013-10-07,46.799999,47.500000,46.650002,47.400002,47.082569,221961
2013-10-08,48.549999,48.650002,46.000000,46.500000,46.188595,402423
2013-10-09,46.250000,47.650002,46.000000,47.250000,46.933571,280735
2013-10-10,47.250000,47.750000,46.849998,47.099998,46.784573,426152
2013-10-11,48.000000,49.700001,47.299999,49.099998,48.771179,1179067
2013-10-14,49.400002,53.349998,49.400002,51.900002,51.552429,5437897
2013-10-15,52.349998,52.450001,49.700001,50.500000,50.161804,3184856
2013-10-17,50.500000,51.950001,50.049999,50.450001,50.112141,1787195
2013-10-18,50.799999,51.900002,50.299999,51.700001,51.353767,1468485
2013-10-21,52.000000,52.450001,51.049999,51.650002,51.304104,803970
2013-10-22,51.650002,53.200001,51.200001,52.900002,52.545731,1648183
2013-10-23,53.000000,53.250000,51.150002,51.849998,51.502762,562960
2013-10-24,51.099998,52.750000,50.500000,50.700001,50.360466,587482
2013-10-25,50.849998,50.900002,49.599998,49.849998,49.516159,350671
2013-10-28,50.000000,50.299999,49.000000,49.150002,48.820847,223807
2013-10-29,49.150002,50.500000,48.500000,50.200001,49.863815,543581
2013-10-30,50.500000,50.500000,49.200001,49.450001,49.118835,260165
2013-10-31,49.000000,51.700001,48.900002,51.150002,50.807453,876228
2013-11-01,51.150002,52.799999,50.950001,51.450001,51.105446,1271525
2013-11-05,52.000000,53.750000,51.599998,52.900002,52.545731,2317812
2013-11-06,53.000000,54.599998,52.700001,53.250000,52.893387,1954116
2013-11-07,55.000000,56.250000,51.299999,51.750000,51.403435,3365828
2013-11-08,51.400002,52.200001,50.599998,51.349998,51.006111,788505
