Date,Open,High,Low,Close,Adj Close,Volume
2013-09-23,72.786903,73.968102,70.587402,71.279800,58.682842,3302289
2013-09-24,70.465202,72.624001,69.894997,71.483498,58.850536,3685284
2013-09-25,71.483498,72.175903,68.998901,70.831802,58.314011,2922504
2013-09-26,70.302299,71.850098,69.609901,70.098602,57.710388,3478598
2013-09-27,70.383797,72.746201,69.935699,70.791100,58.280499,3532846
2013-09-30,70.057899,70.383797,66.962303,67.980598,55.966686,2513417
2013-10-01,68.062103,70.383797,67.206703,69.772797,57.442158,3203770
2013-10-03,70.220802,72.501801,69.894997,71.931503,59.219368,2852808
2013-10-04,71.116898,73.234901,70.546700,71.524200,58.884048,2869218
2013-10-07,70.994698,74.660599,70.709602,73.153503,60.225410,4238767
2013-10-08,75.393700,75.882500,73.682999,74.293999,61.164345,4983763
2013-10-09,74.130997,76.493500,73.275703,75.719597,62.338009,4358501
2013-10-10,75.678802,76.982201,75.027100,75.434402,62.103214,3536241
2013-10-11,76.126900,77.308098,75.271500,75.882500,62.472126,3966572
2013-10-14,76.656403,90.056999,76.656403,88.835098,73.135674,39170610
2013-10-15,89.160896,89.445999,82.643898,83.743599,68.943970,18043314
2013-10-17,83.743599,86.920700,82.155098,84.476799,69.547592,10874370
2013-10-18,84.884102,88.061203,84.761902,86.594803,71.291290,6863930
2013-10-21,87.165100,89.120201,84.150902,85.169197,70.117630,9465569
2013-10-22,79.263199,82.399498,78.855904,80.892403,66.596649,12636723
2013-10-23,81.707100,83.865799,80.933197,82.318001,67.770317,8053611
2013-10-24,82.766098,83.499298,80.729500,81.584900,67.166756,4854912
2013-10-25,81.951401,82.032898,79.263199,79.833397,65.724800,3791686
2013-10-28,80.240700,81.218300,76.656403,76.941498,63.343975,3607933
2013-10-29,76.656403,81.625603,75.760300,81.136803,66.797844,8658015
2013-10-30,81.625603,82.032898,78.367104,78.692902,64.785858,4490218
2013-10-31,78.204201,83.091904,78.204201,82.521698,67.938011,7438291
2013-11-01,83.173401,85.902397,82.358803,83.499298,68.742836,8349511
2013-11-05,84.069504,87.002098,82.725304,84.639702,69.681709,7184101
2013-11-06,85.169197,85.861702,82.440201,82.725304,68.105637,3862223
2013-11-07,85.943100,88.549896,82.929001,83.214104,68.508049,12942005
2013-11-08,82.847504,84.598999,82.440201,83.214104,68.508049,3835151
2013-11-11,82.521698,83.702904,80.322197,80.892403,66.596649,3867597
2013-11-12,81.177597,82.114403,79.588997,79.914902,65.791908,3141536
2013-11-13,79.588997,81.870003,79.344704,80.566597,66.328415,3503307
2013-11-14,81.299797,83.417801,80.973900,82.195801,67.669708,2840765
2013-11-18,83.662201,84.680496,83.254898,84.395302,69.480499,3152770
2013-11-19,84.884102,85.902397,84.069504,84.924797,69.916412,3877619
2013-11-20,84.680496,85.046997,82.562401,83.132698,68.441025,2757691
2013-11-21,82.440201,82.440201,80.403702,80.810997,66.529625,2819375
2013-11-22,81.259003,81.788498,79.670502,80.362900,66.160728,1875153
2013-11-25,81.096100,82.195801,80.770203,81.951401,67.468498,1793203
2013-11-26,81.666298,82.603203,80.648003,81.096100,66.764351,2040288
2013-11-27,81.299797,81.462700,79.914902,80.485100,66.261330,1340587
2013-11-28,80.851700,82.766098,80.729500,81.503403,67.099670,3408646
2013-11-29,80.851700,85.046997,80.851700,84.273102,69.379890,4659312
2013-12-02,85.128502,87.287300,85.046997,85.454399,70.352425,4502305
2013-12-03,85.372902,85.372902,83.254898,84.028702,69.178680,2555641
2013-12-04,83.254898,85.495102,82.766098,83.173401,68.474541,3237751
2013-12-05,85.209999,86.350403,84.110199,85.169197,70.117630,3592586
2013-12-06,84.517502,86.024597,84.436096,85.495102,70.385941,2370794
2013-12-09,88.061203,88.061203,85.209999,85.698700,70.553558,3198969
2013-12-10,85.209999,85.372902,83.499298,84.232399,69.346397,2315248
2013-12-11,83.132698,84.273102,81.747803,82.399498,67.837402,2424201
2013-12-12,81.625603,83.173401,81.259003,81.625603,67.200272,2944092
2013-12-13,80.892403,81.788498,80.281502,80.566597,66.328415,1664300
2013-12-16,79.914902,81.666298,79.914902,80.851700,66.563141,1799235
2013-12-17,81.625603,81.870003,79.466797,79.711197,65.624191,1628518
2013-12-18,79.222504,82.725304,79.222504,81.951401,67.468498,3742677
2013-12-19,82.766098,82.888298,79.955597,80.322197,66.127220,1936246
2013-12-20,80.118500,86.513397,80.118500,85.698700,70.553558,6088719
2013-12-23,86.472603,87.083603,84.395302,86.065300,70.855362,4995749
2013-12-24,86.146797,87.490898,85.006302,85.617302,70.486534,3782605
2013-12-26,86.350403,92.704498,85.820900,91.971397,75.717705,19039229
2013-12-27,92.541603,93.559898,89.079399,90.504997,74.510460,7393409
2013-12-30,90.260696,91.604797,88.224098,89.364601,73.571594,4452605
2013-12-31,89.894096,92.052803,88.387001,90.627197,74.611053,4587684
2014-01-01,90.871597,93.600601,89.934799,92.419403,76.086533,4054261
2014-01-02,93.274803,95.555702,87.490898,88.346298,72.733253,10011596
2014-01-03,87.979698,90.749397,85.698700,90.301399,74.342842,5527499
2014-01-06,90.382797,90.545799,88.549896,89.201599,73.437401,2958174
2014-01-07,89.649696,90.097702,86.920700,88.020401,72.464958,3685601
