Date,Open,High,Low,Close,Adj Close,Volume
2013-09-23,46.222500,46.222500,43.789799,43.998299,40.432144,135098
2013-09-24,43.789799,44.832401,42.955700,43.164200,39.665649,163043
2013-09-25,43.755001,43.789799,42.260601,42.886200,39.410179,136279
2013-09-26,42.712399,43.616001,42.295300,42.538601,39.090752,77674
2013-09-27,43.094700,43.442200,42.260601,43.059898,39.569798,71716
2013-09-30,42.469101,42.920898,41.565498,41.982601,38.579819,91766
2013-10-01,42.712399,43.199001,42.086800,42.330101,38.899151,108424
2013-10-03,42.886200,43.338001,42.469101,42.781898,39.314331,92098
2013-10-04,43.233700,43.407501,42.573399,42.677601,39.218491,83874
2013-10-07,43.059898,43.268501,42.295300,42.712399,39.250465,103405
2013-10-08,43.442200,43.998299,43.164200,43.442200,39.921116,97446
2013-10-09,43.442200,43.755001,42.920898,43.685501,40.144695,42241
2013-10-10,43.685501,44.137299,43.199001,43.511700,39.984982,53538
2013-10-11,43.616001,45.353699,43.616001,44.971401,41.326370,205100
2013-10-14,44.971401,53.937901,44.971401,53.937901,49.566116,2631852
2013-10-15,55.605999,56.301102,49.628399,50.045399,45.989113,1927246
2013-10-17,50.393002,52.095901,49.350399,50.983799,46.851444,600425
2013-10-18,51.435600,52.964802,51.018600,51.678902,47.490215,612329
2013-10-21,52.269699,53.381802,51.261799,51.539902,47.362480,435553
2013-10-22,51.539902,51.539902,50.114899,50.323502,46.244671,233159
2013-10-23,50.705799,51.644100,49.906399,50.149700,46.084957,200584
2013-10-24,50.636299,51.088100,49.350399,49.593700,45.574024,180290
2013-10-25,49.350399,49.836899,48.829102,49.002800,45.031021,149384
2013-10-28,49.315601,50.358200,49.002800,49.211300,45.222614,129082
2013-10-29,49.628399,50.949001,48.689999,49.906399,45.861378,320971
2013-10-30,50.358200,50.358200,49.072300,49.350399,45.350437,103862
2013-10-31,49.454601,52.408699,48.794300,51.192299,47.043053,528814
2013-11-01,51.400799,55.258499,51.331299,52.269699,48.033127,1418836
2013-11-05,51.227100,55.223801,51.227100,53.277500,48.959244,615491
2013-11-06,54.111599,54.424400,51.713600,51.991699,47.777660,274341
2013-11-07,54.215900,55.884102,51.887402,52.339199,48.096992,1120195
2013-11-08,52.165401,53.312302,51.505100,52.165401,47.937283,223243
2013-11-11,52.130699,52.582500,50.740501,51.261799,47.106915,248836
2013-11-12,51.261799,51.922100,49.697899,49.836899,45.797508,169964
2013-11-13,49.906399,50.045399,48.064499,48.481499,44.551968,522533
